claim_id,paper_location,claim_text_or_value,source_file,line_or_key_or_cell,commit,producing_script_and_command,status
T3-4,"Table 3 row: Igbo accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",97.8/91.9/97.7/94.5,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-5,"Table 3 row: Kinyarwanda accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",98.8/84.9/99.0/93.4,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-6,"Table 3 row: Luganda accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",98.8/91.3/96.4/94.8,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-7,"Table 3 row: Luo accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",97.8/91.4/98.6/95.2,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-8,"Table 3 row: Nigerian Pidgin accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",98.6/89.6/97.5/97.0,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-9,"Table 3 row: Swahili accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",98.2/80.2/93.9/95.2,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-10,"Table 3 row: Wolof accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",92.5/89.1/98.7/93.0,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-11,"Table 3 row: Yoruba accuracy (XLM-R Non-OOV/OOV, VEXMLM Non-OOV/OOV)",91.6/81.8/92.8/89.1,"N/A -- deleted from reports/RESULTS_SUMMARY.md; no generating script for this exact metric (NER-task OOV/non-OOV accuracy, per-language) exists for any of the 11 languages","3d96f3b commit message: 'an 11-language NER OOV table... with no generating artifact in the repository'; note: for Amharic/Tigrinya only, a DIFFERENT metric (word-list round-trip rate, not NER-task accuracy) exists in results/spmerge_tokenizer_metrics.json (XLM-R amh/tir=1.0000/0.9954, VEXMLM amh/tir=1.0000/0.9987) -- not the same quantity as this table's claimed values","3d96f3b (2026-08-17, deletion commit)",no producing script found for any of the 11 rows as the paper defines them,UNTRACEABLE
T3-avg,Table 3 row: Average,96.4/88.4/97.2/94.3,N/A,average of the 11 UNTRACEABLE rows above; not independently computable from any repo artifact,N/A,N/A,UNTRACEABLE
S51-1,Sec 5.1 para,'VEXMLM improves average OOV-word accuracy by 5.9 points (from 88.4% to 94.3%)' -- arithmetically self-consistent with the paper's own (untraceable) Table 3 rows (recomputed delta ~5.5-5.9) but Table 3 itself is UNTRACEABLE to any repo source,"N/A (arithmetic check only, on unverified Table 3 inputs)","recomputed unweighted mean of paper's own 11 XLM-R-OOV and VEXMLM-OOV values: 88.87 -> 94.38, delta +5.51 (close to claimed +5.9)",N/A,N/A,UNTRACEABLE
S51-2,Sec 5.1 para,"'Amharic and Tigrinya... OOV-word accuracy improves by 1.1 and 11.4 points respectively' -- arithmetically exact against the paper's own Table 3 cells (92.2-91.1=1.1; 89.5-78.1=11.4) but those cells are themselves UNTRACEABLE; repo's real amh/tir OOV metric (word round-trip) gives entirely different values (1.0000/0.9954 XLM-R, 1.0000/0.9987 VEXMLM)",N/A (arithmetic check only),92.2-91.1=1.1 exact; 89.5-78.1=11.4 exact -- internally consistent with paper's own Table 3 cells,N/A,N/A,UNTRACEABLE
S51-3,Sec 5.1 para,"'Non-OOV accuracy also improves for Tigrinya (+2.1 points)' (96.1->98.2) -> the real, completed Tigrinya NER OOV ablation shows XLM-R baseline=94.57 and full_vexmlm=95.66, net real effect +1.09, not +2.1, and non-monotonic (vocab expansion alone first costs 6.9-7.5 points)",results/table5_ablation.csv,"row 2 (xlmr_baseline)=94.57+/-0.16; row 5 (full_vexmlm)=95.66+/-0.09, cumulative delta +1.09","bbaf6fc (2026-08-17, real ablation data)",evaluation/aggregate_ablation.py -> results/table5_ablation.csv,CORRECTED
S54-1,Sec 5.4 para 2,"'average improvement (+12.9 points)' -> contradicts Sec 5.1's '+5.9' for the same claimed quantity; recomputation from the paper's own Table 3 rows reproduces ~5.5-5.9 (matching Sec 5.1), not 12.9; no tested statistical method (mean/weighted/geometric/harmonic/subset-search/column-swap) reproduces +12.9 or its implied 81.4% baseline average from the 11 displayed rows","N/A (arithmetic check only, on unverified Table 3 inputs)","sum([91.1,96.1,90.2,91.9,84.9,91.3,91.4,89.6,80.2,89.1,81.8])/11 = 88.87 (using Tigrinya XLM-R OOV=78.1) -> gain to 94.38 = +5.51, not +12.9",N/A,N/A,CORRECTED
T4-1,Table 4 row: SA accuracy,"XLM-R=0.77, VEXMLM=0.79, Glot500=0.46 -> real VEXMLM (5-seed)=0.4978+/-0.0331; single-seed baselines (not usable for head-to-head per repo's own caveat) XLM-R test=0.5073/val=0.6092, Glot500 test=0.4472/val=0.6086",results/downstream_task_metrics.csv; reports/internal/PRELIMINARY_XLMR_RESULTS.md (gitignored); reports/internal/PRELIMINARY_GLOT500_RESULTS.md (gitignored),"downstream_task_metrics.csv row 14 (afrisenti,Accuracy,0.4978+/-0.0331,5,benchmark)","228dcf8 (2026-08-17, downstream CSV)",evaluation/export_spm_results.py --csv results/downstream_task_metrics.csv,CORRECTED
T4-2,Table 4 row: NER accuracy,"XLM-R=0.75, VEXMLM=0.78, Glot500=0.92 -> real VEXMLM tigrinya_ner=0.9515+/-0.0005, masakhaner_amh=0.9413+/-0.0026; single-seed XLM-R tigrinya test=94.31%, amh test=93.66%; Glot500 tigrinya test=92.51%, amh NER a total training collapse (0.00 entity F1)",results/downstream_task_metrics.csv; reports/internal/PRELIMINARY_XLMR_RESULTS.md (gitignored); reports/internal/PRELIMINARY_GLOT500_RESULTS.md (gitignored),"downstream_task_metrics.csv rows 2 (tigrinya_ner,Accuracy,0.9515+/-0.0005) and 5 (masakhaner_amh,Accuracy,0.9413+/-0.0026)",228dcf8,evaluation/export_spm_results.py,CORRECTED
T4-3,Table 4 row: QA EM,"XLM-R=0.66, VEXMLM=0.77, Glot500=0.74 -> real VEXMLM (5-seed) AmQA EM=32.57+/-0.77%, TIGQA EM=2.39+/-0.82%; single-seed XLM-R AmQA EM=41.50%, TIGQA EM=13.43%; Glot500 AmQA EM=23.33%, TIGQA EM=0.00%",results/downstream_task_metrics.csv; reports/internal/PRELIMINARY_XLMR_RESULTS.md (gitignored); reports/internal/PRELIMINARY_GLOT500_RESULTS.md (gitignored),"downstream_task_metrics.csv rows 8 (amqa,EM,32.57+/-0.77) and 10 (tigqa,EM,2.39+/-0.82)",228dcf8,evaluation/export_spm_results.py,CORRECTED
T4-4,Table 4 row: QA F1,"XLM-R=0.78, VEXMLM=0.79, Glot500=0.78 -> real VEXMLM (5-seed) AmQA F1=48.85+/-0.96, TIGQA F1=9.76+/-0.97; single-seed XLM-R AmQA F1=58.46, TIGQA F1=27.90; Glot500 AmQA F1=37.11, TIGQA F1=9.79",results/downstream_task_metrics.csv; reports/internal/PRELIMINARY_XLMR_RESULTS.md (gitignored); reports/internal/PRELIMINARY_GLOT500_RESULTS.md (gitignored),"downstream_task_metrics.csv rows 9 (amqa,F1,48.85+/-0.96) and 11 (tigqa,F1,9.76+/-0.97)",228dcf8,evaluation/export_spm_results.py,CORRECTED
T4-cap1,Table 4 caption: VEXMLM vs XLM-R deltas,"QA EM +0.11, F1 +0.01, SA +0.02 -> real deltas (AmQA) are QA EM -8.93, F1 -9.61, SA -0.0095 (test) -- every claimed positive delta is real-data sign-reversed; VEXMLM underperforms XLM-R on every measured downstream task","results/downstream_task_metrics.csv; reports/internal/PRELIMINARY_XLMR_RESULTS.md (gitignored, states 'XLM-R leads VEXMLM on every task measured so far... a broad regression, not a TigQA-specific bug')",32.57-41.50=-8.93; 48.85-58.46=-9.61; 0.4978-0.5073=-0.0095,228dcf8,evaluation/export_spm_results.py,CORRECTED
T4-cap2,Table 4 caption: VEXMLM vs Glot500 deltas,"SA +0.33, QA EM +0.03, F1 +0.01 -> real deltas (AmQA) are SA +0.0506 (test), QA EM +9.24, F1 +11.74 -- sign matches but magnitude/units do not correspond to any real repo computation",results/downstream_task_metrics.csv,0.4978-0.4472=+0.0506; 32.57-23.33=+9.24; 48.85-37.11=+11.74,228dcf8,evaluation/export_spm_results.py,CORRECTED
T5-1,Table 5 row: XLM-R baseline,96.1 -> 94.57 +/- 0.16 (5-seed mean+/-std),results/table5_ablation.csv,"row 2: XLM-R baseline,xlmr_baseline,94.57+/-0.16,,5,42-46",bbaf6fc (2026-08-17),evaluation/aggregate_ablation.py --runs results/ablation --out results/table5_ablation.csv,CORRECTED
T5-2,Table 5 row: +VocabExp(Random Init),"97.3 (paper implies +1.2 over baseline) -> 87.04 +/- 0.20 (real: -7.52 vs baseline, i.e. HURTS -- opposite direction of paper's claimed improvement)",results/table5_ablation.csv,"row 3: + VocabExp (Random Init),expansion_random_init,87.04+/-0.20,-7.52,5,42-46",bbaf6fc,evaluation/aggregate_ablation.py,CORRECTED
T5-3,Table 5 row: +VocabExp(Mean Init),97.8 (paper table implies +0.5 over random init; paper body separately claims +2.3) -> 87.63 +/- 0.14 (real delta over random init: +0.59; still 6.94 points BELOW the XLM-R baseline),results/table5_ablation.csv,"row 4: + VocabExp (Mean Init),expansion_mean_init,87.63+/-0.14,+0.59,5,42-46",bbaf6fc,evaluation/aggregate_ablation.py,CORRECTED
T5-4,Table 5 row: +Continued Pretraining,"98.2 (paper table implies +0.4 over mean init; paper body separately claims +7.1) -> 95.66 +/- 0.09 (real delta over mean init: +8.02; real net effect vs XLM-R baseline is only +1.09, not the paper's implied +2.1)",results/table5_ablation.csv,"row 5: + Continued Pretraining,full_vexmlm,95.66+/-0.09,+8.02,5,42-46",bbaf6fc,evaluation/aggregate_ablation.py,CORRECTED
T5-body1,Sec body text (Table 5 discussion),"'random init +1.2 over baseline' -> consistent with paper's own table (97.3-96.1=1.2), but the underlying 96.1/97.3 values are themselves CORRECTED against real repo data (T5-1/T5-2), which shows -7.52 not +1.2",N/A (arithmetic check against paper's own Table 5 values),paper's own table implies 97.3-96.1=+1.2 -- consistent,N/A,N/A,CORRECTED
T5-body2,Sec body text (Table 5 discussion),"'mean init +2.3 over random init' -> paper's OWN Table 5 cells imply only +0.5 (97.8-97.3), a 1.8-point self-contradiction within the paper itself; real repo data (T5-3) shows the true delta is +0.59",N/A (arithmetic check against paper's own Table 5 values),"paper's own table implies 97.8-97.3=+0.5, not +2.3",N/A,N/A,CORRECTED
T5-body3,Sec body text (Table 5 discussion),"'continued pretraining +7.1 points, largest single gain' -> paper's OWN Table 5 cells imply only +0.4 (98.2-97.8), a 6.7-point self-contradiction; real repo delta for the equivalent step is +8.02 (results/table5_ablation.csv), numerically closer to the body text's +7.1 than to the paper's own table-implied +0.4",results/table5_ablation.csv,"paper's own table implies 98.2-97.8=+0.4, not +7.1; real repo row 5 delta = +8.02",bbaf6fc,evaluation/aggregate_ablation.py,CORRECTED
T5-net,Table 5 / Sec 5.1 (net effect framing),"paper implies vocabulary expansion helps monotonically at every step -> real data reverses this: vocabulary expansion alone (random or mean init, no continued pretraining) DECREASES Tigrinya NER OOV accuracy by 6.9-7.5 points relative to XLM-R baseline; only continued pretraining recovers the deficit and pushes marginally (+1.09) above baseline",results/table5_ablation.csv; reports/RESULTS_SUMMARY.md,"RESULTS_SUMMARY.md: 'Vocabulary expansion alone hurts. Adding 30,000 embedding rows costs 7.52 points... The net effect of the full method over XLM-R on this metric is +1.09 points'",bbaf6fc,evaluation/aggregate_ablation.py,CORRECTED
Abl-design,Sec 4.5 (ablation study design),4 configurations on Tigrinya NER as the ablation target,configs/ablations/arm1_xlmr_baseline.yaml; arm2_expansion_random.yaml; arm3_expansion_mean.yaml; arm4_full_vexmlm.yaml; results/ablation/*.json (gitignored),"arm1: expansion=false, pretraining=false, model_path=xlm-roberta-base; arm2: expansion=true/random, pretraining=false; arm3: expansion=true/global_mean, pretraining=false; arm4: expansion=true/global_mean, pretraining=true; all 20 results/ablation/*.json have dataset=tigrinya_ner, split=test","configs/ tracked at HEAD 1e56e55 (part of 4b6cc53 initial add); results/ablation/*.json untracked/gitignored, no commit (but derived table is tracked at bbaf6fc)",evaluation/run_ner_oov.py (per-arm/per-seed) + evaluation/aggregate_ablation.py (aggregation),VERIFIED
Sec41-1,Sec 4.1 (model architecture),301M parameters (up from 279M baseline),N/A (no repo computation),grep for '301' and '279' across all *.py/*.md/*.json repo-wide = 0 computed-param hits combined,N/A,N/A,UNTRACEABLE
